なし,
●基礎パッシブ,
HP+,
筋力+,
知力+,
技力+,
防御+,
精神+,
命中+,
回避+,
会心+,
●戦闘/攻撃,
先駆け,戦闘開始時、ダメージ増加を自身に付与
防御貫通,スキルに物理貫通を付与
回避貫通,スキルに回避貫通を付与
威迫,ひるみ効果が増加
吸血,スキルにHP吸収が追加
盾の熟練,盾スキルのCT減少
裂傷,出血確率＋
鮮血,出血ダメージ＋
深手,出血持続＋
蝶の舞,回避時CTが減少
●戦闘/防御,
回復+,回復スキルの効果＋
抗体,状態異常耐性＋
武の舞,挑発状態だと回避＋
命の盾,回復スキルで超過した分シールド付与
●戦闘/補助,
盾の加護,バフスキルの持続と効果＋
New,
New,
New,
●探索パッシブ,
剥ぎ取り+,剥ぎ取り数が確率で+1
採取+,採取数が確率で+1
剥ぎ取り術,剥ぎ取り素材が確率でランク+1
採取術,採取素材が確率でランク+1
応急手当て,戦闘終了時の全員のHP回復量＋
タフガイ,戦闘終了時の自身HP回復量＋
●キーパッシブ,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
New,
